,Months,MaxTemp,AvgTemp,MinTemp,MinHumid,MaxPressure,MaxSpeed,AvgSpeed,MinSpeed,AvgDirn,Temp6,Temp12,Temp20,Press12,WinSpeed6,WinSpeed12,minTemp_next
1795,9,22.83,18.54,13.58,26.0,1021.0,6,2.67,1,177.12,16.99,14.17,22.33,1021.0,2,4,12.07
1796,9,19.75,16.38,12.07,39.0,1025.0,5,2.25,1,47.83,13.52,13.83,19.75,1025.0,3,2,15.18
1797,9,22.33,17.93,15.18,64.0,1022.0,6,2.88,1,142.88,15.84,16.83,21.83,1015.0,3,3,15.99
1798,9,27.72,21.17,15.99,44.0,1016.0,4,2.46,1,117.67,17.3,17.91,27.72,1016.0,2,2,19.76
1799,9,30.17,24.24,19.76,53.0,1012.0,5,2.54,1,135.67,20.84,21.66,30.08,1011.0,2,3,17.88
1800,9,24.66,20.57,17.88,68.0,1014.0,6,2.75,1,166.42,21.15,21.5,18.09,1012.0,1,1,16.36
1801,9,23.27,19.0,16.36,40.0,1014.0,6,2.83,1,141.5,17.45,16.82,23.27,1013.0,2,2,13.91
1802,9,22.73,18.75,13.91,46.0,1020.0,7,2.83,1,200.0,16.41,16.0,22.41,1020.0,3,3,12.58
1803,9,21.36,17.27,12.58,40.0,1026.0,6,2.88,1,198.79,13.99,14.08,21.0,1024.0,2,4,12.74
1804,9,23.36,17.71,12.74,33.0,1029.0,5,3.0,1,156.46,13.74,15.25,23.33,1029.0,1,3,12.23
1805,9,25.66,18.29,12.23,27.0,1029.0,3,1.88,1,112.75,14.24,12.23,25.66,1028.0,2,2,14.51
1806,9,26.99,20.45,14.51,34.0,1022.0,3,1.33,1,210.88,16.14,15.56,26.99,1019.0,1,1,15.74
1807,9,27.72,21.35,15.74,50.0,1015.0,3,1.71,1,228.29,17.53,18.18,24.41,1015.0,1,1,21.58
1808,9,27.58,23.74,21.58,57.0,1014.0,3,1.75,0,174.08,21.58,21.72,27.09,1012.0,1,2,18.91
1809,9,27.82,23.88,18.91,54.0,1019.0,2,1.42,1,165.0,21.9,21.36,27.82,1018.0,2,1,20.24
1810,9,27.73,23.68,20.24,58.0,1023.0,3,1.46,0,65.58,21.81,20.99,27.08,1022.0,1,3,20.81
1811,9,27.18,23.0,20.81,61.0,1023.0,3,1.25,0,139.62,21.18,21.36,26.66,1022.0,0,1,20.83
1812,9,23.92,22.13,20.83,73.0,1021.0,5,2.42,1,40.71,21.17,20.83,23.83,1021.0,1,3,22.0
1813,9,26.28,23.2,22.0,57.0,1020.0,8,4.54,3,51.17,22.45,22.27,24.17,1017.0,3,3,22.25
1814,9,27.19,24.27,22.25,54.0,1013.0,10,3.88,2,72.5,22.63,22.83,27.19,1012.0,4,3,22.54
1815,9,28.0,24.6,22.54,51.0,1017.0,3,1.96,1,46.12,22.9,22.73,28.0,1017.0,2,1,19.18
1816,9,28.91,23.81,19.18,39.0,1018.0,4,2.88,1,40.5,21.81,20.09,28.91,1018.0,4,4,20.54
1817,9,31.42,25.3,20.54,23.0,1019.0,4,2.58,1,43.46,22.09,21.54,31.33,1017.0,3,2,19.57
1818,9,32.8,25.48,19.57,32.0,1020.0,4,1.5,1,162.17,20.65,21.32,32.18,1020.0,1,2,20.83
