,Actual,pred
104,23.2,22.830334407862495
105,22.5,22.988697595623805
106,24.0,22.600849796443693
107,24.3,23.43008319631787
108,25.5,23.768629774971107
109,25.0,24.649110877431436
110,24.0,24.488121075322173
111,26.0,26.444441352446756
112,27.0,26.15727611906314
113,25.5,26.839803093897157
114,26.0,26.017660574962623
115,26.6,26.02636360500288
116,25.8,26.24350834237715
117,24.2,26.01243877243539
118,25.0,24.939026712920604
119,27.0,25.107851119026762
120,25.0,26.1802227617455
121,26.0,25.21002257555654
122,27.0,25.763330066761686
123,26.4,26.360161077891327
124,27.5,26.3502863443686
125,28.0,26.67266406710917
126,28.3,27.3307714994941
127,27.7,27.7291374411384
128,28.5,27.62838199414857
129,28.5,28.18471128625834
130,28.2,28.320619133551965
131,26.2,28.16962838012919
132,29.5,26.99561545537275
133,27.4,28.62737341622354
134,27.4,27.605114513880554
135,25.5,27.559240837511076
136,26.8,26.30935146149892
137,27.6,23.608042979849653
138,24.5,25.10203062899175
139,26.5,24.06239254032823
140,25.8,25.989850542024417
141,24.5,25.66844305120364
142,26.8,25.266713484617984
143,25.5,25.97685980469718
144,27.3,25.769940170824764
145,28.0,26.52015414000558
146,27.5,27.056638643985302
147,28.0,27.184227911638953
148,27.3,27.485985750097907
149,27.6,27.38711976469722
150,27.3,27.614376881540583
151,29.0,27.363298707827838
152,30.0,28.355064003031565
153,30.2,29.058312958938924
154,30.0,29.557612257359988
155,28.8,29.536408754842594
156,27.2,29.117736594899633
157,26.2,28.164890263578098
158,27.0,27.28795726351197
159,25.5,27.416961053614617
160,22.8,26.349406342596584
161,22.8,24.249607672465057
162,27.0,26.79706109073459
163,29.0,26.48778146407232
164,30.0,27.480972724836352
165,29.5,28.921354114637797
166,28.0,29.123660154661014
167,25.5,28.26078047797601
168,26.8,27.0594108599191
169,26.0,27.185503362192854
170,20.5,26.540814879707423
171,26.5,23.22832503341083
172,26.8,25.663317830366577
173,25.7,25.98532151980614
174,26.4,25.371083551162954
175,26.7,25.591863823684804
176,27.5,26.535958659518993
177,30.0,27.114848357337838
178,29.4,28.43403909218431
179,29.0,28.707237087807552
180,29.8,28.700098899896243
181,31.0,29.479592673839395
182,31.5,30.381385573873825
183,31.5,30.81549817270545
184,30.0,30.958840310120593
185,28.0,30.472501405658672
186,27.0,29.26705656321364
187,28.4,28.232988562282156
188,30.8,30.30273352457134
189,29.5,30.3128954140136
190,27.0,29.960745094492193
191,31.0,28.404167668372345
192,31.5,30.20572108758284
193,30.5,30.66847344920848
194,30.0,30.338012460205295
195,30.2,30.00472355728761
196,29.0,30.316494869062588
197,27.0,29.627694007389387
198,25.8,28.278602507465497
199,26.6,27.19623167691826
200,30.2,27.088665852647676
201,31.0,28.77421896176279
202,30.5,29.47734434194832
203,30.4,29.710231813188347
204,29.5,29.961702830528385
205,29.6,29.954372615288406
206,30.0,29.844182658398065
207,29.0,29.982014652621146
208,30.0,29.3847013494685
209,30.0,29.821965034489658
210,30.5,29.777368740490484
211,27.3,30.141799942700963
212,27.5,28.430057804468962
213,31.4,28.063260318310334
214,32.6,29.492965054668087
215,27.8,31.14771810146196
216,27.5,29.12524273319895
217,27.6,28.698059108374
218,30.2,28.432421285512074
219,28.8,29.596543142172802
220,30.5,28.61942275986402
221,31.0,29.627056424273967
222,31.5,30.21559654491007
223,30.8,30.940275323085746
224,30.8,30.67476246508913
225,31.6,30.785153106512407
226,32.5,31.31143163769491
227,33.3,31.918486068891596
228,29.5,32.53946512563152
229,31.2,30.67212290776264
230,30.5,31.323031062708257
231,29.5,30.897023960572167
232,29.5,30.19877907793697
233,29.5,29.731635952402176
234,29.5,29.75710259547901
235,29.3,29.61176130213448
236,29.3,29.362141834253073
237,27.5,29.340300697935135
238,29.0,28.353152941929554
239,24.0,26.78915289279571
240,31.0,25.368702784116035
241,31.0,28.614350226427813
242,31.3,29.318309824458556
243,29.0,30.068640518581617
244,28.8,29.091462558835612
245,25.5,29.552631888600423
246,28.3,27.45283294291745
247,30.2,28.355981293690927
248,30.2,29.100591818294344
249,30.6,29.477677006842434
250,30.4,29.716453453629697
251,31.0,30.11710739034017
252,29.0,30.670367049419706
253,30.2,29.713360826045896
254,29.5,30.18250731444
255,29.3,29.706840192246908
256,29.5,29.604076921895377
257,28.0,29.434840387224586
258,26.0,28.736864598035208
259,30.0,27.297093999682527
260,30.5,29.086272752102115
261,26.5,29.59584124557389
262,29.5,27.59232251083505
263,26.6,28.821594980784468
264,29.7,27.69464752176891
265,31.5,30.413778224620625
266,30.0,30.506912849510265
267,30.6,29.998143474135684
268,30.5,30.74835594477721
269,29.0,30.606972392065952
270,24.5,29.79996332075917
271,28.2,26.880259393355058
272,29.0,28.223671082835516
273,29.5,28.489416529554244
274,30.4,28.747366794904526
275,29.2,29.283846416833537
276,30.5,29.261679649092358
277,31.0,30.024742782692286
278,31.0,30.470077370899748
279,29.5,30.70030474384978
280,27.5,29.914010455196387
281,26.4,28.743793653829908
282,29.2,27.772896684153796
283,29.6,28.81119152372099
284,29.5,29.019691274376488
285,29.5,28.95496933082325
286,30.7,29.111243578461487
287,29.4,30.042705619364874
288,30.0,29.663222166615245
289,30.5,29.86688095608127
290,27.6,27.579357681888705
291,26.0,27.534382770833684
292,26.0,26.647401155772027
293,26.4,26.351603721072426
294,27.0,26.408549888662392
295,26.4,26.65607556419255
296,26.5,26.281635448976697
297,26.4,26.45395290751848
298,27.0,26.528330009636452
299,27.0,26.82601646351284
300,25.7,26.817031881257698
301,25.7,26.031952882607314
