,Actual,pred
119,11.0,9.997420657072825
120,11.8,10.697456406987278
121,9.0,11.31004222669478
122,9.0,10.030887670842494
123,8.0,9.664552308817433
124,9.3,8.949930271137069
125,10.0,9.472385308424746
126,11.3,9.826879976792622
127,11.5,10.738412733882758
128,11.0,11.119732053571445
129,10.5,11.099879310878093
130,10.6,10.854417784843562
131,10.8,10.86919110949006
132,9.4,10.792802416069271
133,12.0,10.15428829847311
134,11.8,11.239696711819231
135,11.2,11.603048551074792
136,10.5,11.171925535701298
137,13.0,13.139007508955077
138,14.8,13.724500639953698
139,12.5,14.298488368275832
140,14.0,13.247779227501885
141,13.8,13.647463559185677
142,13.5,13.625703791466599
143,11.5,13.708992885666499
144,12.0,12.335390609183834
145,11.5,12.471613812033166
146,11.5,12.166708651496794
147,13.5,11.88356360898106
148,14.0,12.870462893144916
149,13.5,13.41471271248872
150,16.4,13.342422879290778
151,15.0,15.021035480959249
152,13.5,15.075491537348737
153,13.0,14.297554020214823
154,12.4,13.79798583919233
155,12.5,13.316013801300487
156,14.0,12.823195792865212
157,14.7,13.31179158107621
158,12.2,13.830270020828372
159,10.5,12.729412160330208
160,15.2,11.445598929014674
161,14.8,13.587748949717799
162,16.5,15.42867729077951
163,15.5,16.33434265443739
164,14.6,16.067598874907123
165,14.0,15.236464054034933
166,16.0,14.746956843625258
167,13.0,15.507643190906409
168,16.0,13.723208721784248
169,18.6,14.874531978057899
170,15.8,16.830613629576522
171,13.5,15.687099719446339
172,14.5,14.390687261027871
173,16.5,14.784959906668542
174,16.8,16.095393256442097
175,17.5,16.42569311098676
176,16.5,16.70409842780925
177,18.5,16.596384533925274
178,18.6,17.952132220415844
179,20.6,18.365032627161614
180,19.4,19.560715520185845
181,18.5,19.27963197287445
182,19.0,18.858826936380435
183,18.5,19.10498004633309
184,15.0,18.924794984856373
185,14.8,16.57244166142488
186,15.2,15.45480926362382
187,17.0,15.254039079456186
188,19.0,18.700107899429618
189,19.0,18.864158094309715
190,19.5,18.728871395572998
191,20.5,18.920361899603297
192,20.2,19.79329406839364
193,19.4,20.034607127315645
194,19.0,19.709757062319586
195,20.2,19.312016544389056
196,20.2,19.725810238221722
197,19.5,19.792963147477
198,19.0,19.295073049533652
199,19.6,18.81144264255055
200,18.8,19.15238746196943
